idT,idM,idK,rmsX,rmsY,rmsZ,aRms,aPeakX,aPeakY,aPeakZ,aPeak,latitude,longitude,vreme,brzina,maxX,maxY,maxZ,opis
3991,96,13,0.1275,0.122,0.3772,0.4164,-0.2551,-0.035,1.4029,1.4263,43.9435583,20.41367,2016-01-19-07-34-31,86.8983,0.295689821,-0.548795283,1.402866364,its vezbe
3992,96,13,0.135,0.1427,0.381,0.4286,0.2768,-0.1743,1.3258,1.3656,43.9463566,20.4142866,2016-01-19-07-34-43,103.9033,0.419322729,-0.405641109,1.325819969,its vezbe
3993,96,13,0.1387,0.1431,0.439,0.4821,-0.4894,-0.1786,-1.0151,1.141,43.9481766,20.4147,2016-01-19-07-34-50,106.9941,-0.48941052,0.362465858,-1.039897919,its vezbe
3994,96,13,0.1668,0.1601,0.5423,0.5895,-0.1647,-0.0754,2.2353,2.2426,43.9513316,20.4154066,2016-01-19-07-35-04,85.4159,0.599382639,-0.565882683,2.235273361,its vezbe
3995,96,13,0.1214,0.1314,0.4167,0.4535,0.1142,0.3295,1.1367,1.1889,43.953215,20.41594,2016-01-19-07-35-13,83.8408,-0.32568121,-0.370321095,1.13666153,its vezbe
3996,96,13,0.1728,0.1455,0.5925,0.634,0.4714,0.025,2.6303,2.6723,43.9555233,20.4161966,2016-01-19-07-35-24,90.1762,0.787668467,0.606643915,2.630302429,its vezbe
3997,96,13,0.1119,0.1308,0.3916,0.4277,0.3277,0.1525,1.6438,1.6831,43.9569433,20.4163066,2016-01-19-07-35-32,78.847,0.346263409,0.452856898,1.643806458,its vezbe
3998,96,13,0.1141,0.1205,0.3427,0.3808,0.3673,0.4505,1.0862,1.232,43.958725,20.4162833,2016-01-19-07-35-40,82.1509,0.433202624,0.450534344,1.188715935,its vezbe
3999,96,13,0.1007,0.1238,0.3071,0.3461,-0.1919,0.2016,-1.1141,1.1483,43.960685,20.416425,2016-01-19-07-35-51,69.115,-0.359672874,-0.418455958,-1.114061356,its vezbe
4000,96,13,0.1327,0.1454,0.3482,0.4,-0.5134,0.3655,-1.3647,1.5032,43.9625333,20.4166333,2016-01-19-07-36-04,55.3046,-0.513442814,0.821060181,-1.364734173,its vezbe
4001,96,13,0.1244,0.1205,0.2572,0.3101,-0.0239,0.0446,0.6294,0.6314,43.963595,20.4168816,2016-01-19-07-36-14,49.6215,-0.4631598,-0.478218555,0.62937355,its vezbe
4002,96,13,0.1021,0.1108,0.2347,0.2789,-0.0966,-0.0433,-0.7141,0.7219,43.9648483,20.41739,2016-01-19-07-36-23,70.2917,-0.304450035,-0.36593917,-0.714091301,its vezbe
4003,96,13,0.0951,0.1016,0.312,0.3417,0.2055,-0.13,-1.704,1.7213,43.9662116,20.4183766,2016-01-19-07-36-31,74.4684,-0.380625367,0.313856483,-1.704021454,its vezbe
4004,96,13,0.1116,0.1279,0.29,0.336,-0.0991,0.1193,-0.8643,0.8781,43.968195,20.4188866,2016-01-19-07-36-43,61.2453,0.423508048,0.502779841,-0.864314079,its vezbe
4005,96,13,0.0944,0.0919,0.2446,0.2779,-0.0243,-0.292,0.9161,0.9618,43.9694466,20.4188833,2016-01-19-07-36-52,55.3009,0.263514996,-0.291962266,0.91608429,its vezbe
4006,96,13,0.1042,0.0921,0.3567,0.3828,0.125,0.0048,1.4094,1.4149,43.9706283,20.4175366,2016-01-19-07-37-03,54.1132,-0.429489315,0.246510446,1.409366608,its vezbe
4007,96,13,0.1067,0.1101,0.2834,0.3222,0.1256,0.2118,0.9742,1.0049,43.9721416,20.4181816,2016-01-19-07-37-12,69.2207,0.424917698,0.323757648,0.974232674,its vezbe
4008,96,13,0.1606,0.1845,0.5153,0.5704,-0.0404,-0.3156,3.3895,3.4044,43.9734866,20.4187466,2016-01-19-07-37-20,72.4208,0.703689098,0.693906426,3.389505386,its vezbe
4009,96,13,0.093,0.1004,0.2183,0.2576,0.0445,-0.361,-0.5047,0.6221,43.9755966,20.4192583,2016-01-19-07-37-32,70.1583,-0.273835719,-0.360992134,0.618926048,its vezbe
4010,96,13,0.1466,0.1794,0.361,0.4289,0.076,0.0261,1.2181,1.2208,43.9777316,20.4193466,2016-01-19-07-37-44,69.1595,-0.593511343,-0.940115929,1.218111992,its vezbe
4011,96,13,0.1788,0.1972,0.4392,0.5135,-0.7117,-0.0451,-1.9364,2.0635,43.9788616,20.4201183,2016-01-19-07-37-52,66.2058,-0.711716354,-0.754430354,-1.936358929,its vezbe
4012,96,13,0.129,0.1327,0.4369,0.4745,-0.0175,0.3811,1.5887,1.6339,43.9798966,20.4219933,2016-01-19-07-38-04,56.0551,0.419949889,-0.433593154,1.588702202,its vezbe
4013,96,13,0.1218,0.1339,0.2587,0.3157,0.1738,-0.2098,-1.7395,1.7607,43.9809433,20.423085,2016-01-19-07-38-15,59.1014,-0.384746671,0.441557646,-1.739480495,its vezbe
4014,96,13,0.1199,0.1282,0.3008,0.3482,-0.3386,0.1466,1.0574,1.1199,43.9820666,20.4226466,2016-01-19-07-38-22,70.6679,0.392755985,0.377587318,1.057367325,its vezbe
4015,96,13,0.1058,0.1203,0.2196,0.2718,0.0925,-0.2436,0.7707,0.8135,43.9838583,20.421825,2016-01-19-07-38-32,75.1614,0.278779864,0.377825618,0.770661354,its vezbe
4016,96,13,0.1354,0.129,0.3203,0.3709,-0.3953,-0.2199,1.2183,1.2996,43.985515,20.419715,2016-01-19-07-38-45,69.2318,-0.396986067,0.403726578,1.218307495,its vezbe
4017,96,13,0.1128,0.1145,0.282,0.3246,0.1319,-0.1321,0.9325,0.951,43.9861316,20.418685,2016-01-19-07-38-51,64.968,-0.346848011,-0.392366588,0.932456017,its vezbe
4018,96,13,0.1106,0.1061,0.2493,0.2926,0.0549,-0.1302,1.0561,1.0656,43.9880783,20.4176533,2016-01-19-07-39-04,63.1614,-0.327349842,-0.314979315,1.056141853,its vezbe
4019,96,13,0.1127,0.1001,0.2241,0.27,0.1651,0.0903,0.6467,0.6735,43.9886116,20.41919,2016-01-19-07-39-13,48.5264,-0.268155903,0.338798046,0.646727562,its vezbe
4020,96,13,0.1091,0.0983,0.1845,0.2358,-0.2776,-0.1472,-0.6873,0.7557,43.9880633,20.4211033,2016-01-19-07-39-25,52.4158,0.294198751,-0.439428568,-0.687279701,its vezbe
4021,96,13,0.0908,0.0975,0.1759,0.2207,0.1083,-0.0263,0.6289,0.6387,43.98878,20.4220533,2016-01-19-07-39-33,56.9853,-0.258062184,-0.332795262,0.628921509,its vezbe
4022,96,13,0.1057,0.1003,0.2144,0.2593,0.2719,-0.1956,0.7927,0.8605,43.99048,20.4221816,2016-01-19-07-39-43,68.7074,0.334984779,0.345125914,0.792675972,its vezbe
4023,96,13,0.1018,0.1068,0.2776,0.3143,-0.2388,0.0479,-0.8909,0.9236,43.992015,20.421645,2016-01-19-07-39-52,70.4251,-0.291253805,-0.273711175,-0.890945911,its vezbe
4024,96,13,0.1489,0.151,0.4296,0.4791,-0.161,0.0435,-1.3506,1.3609,43.9940733,20.4219616,2016-01-19-07-40-05,65.4368,-0.640473008,-0.555806816,-1.350636482,its vezbe
4025,96,13,0.1051,0.1224,0.3009,0.3414,0.3091,0.2533,0.9702,1.0493,43.9954033,20.4232166,2016-01-19-07-40-15,65.4998,0.309144497,0.341739058,0.970180511,its vezbe
4026,96,13,0.1459,0.1781,0.4755,0.5283,0.2927,-0.0202,1.9131,1.9354,43.9963099,20.4246033,2016-01-19-07-40-23,71.8371,0.552093267,-1.103166342,1.913064957,its vezbe
4027,96,13,0.1194,0.1404,0.3329,0.3805,-0.1891,-0.2189,-1.9495,1.9708,43.9973816,20.4265116,2016-01-19-07-40-33,67.6882,-0.392274499,0.490440845,-1.949453831,its vezbe
4028,96,13,0.1347,0.1617,0.317,0.3805,0.1097,-0.78,0.6911,1.0479,43.998945,20.4282166,2016-01-19-07-40-45,69.0317,0.364141703,-0.780019641,1.02544117,its vezbe
4029,96,13,0.1833,0.1541,0.4905,0.5458,-0.4831,-0.5133,-2.1058,2.2207,44.0002899,20.4293466,2016-01-19-07-40-54,72.7451,0.804984808,0.586457133,-2.105814457,its vezbe
4030,96,13,0.1331,0.1404,0.3063,0.3623,0.7839,-0.0911,1.4518,1.6524,44.0005283,20.4310933,2016-01-19-07-41-02,18.6968,0.783868194,-0.656264544,1.45182991,its vezbe
4031,96,13,0.1253,0.1084,0.2917,0.3355,-0.1289,-0.1215,0.7276,0.7488,44.0022249,20.4338983,2016-01-19-07-41-14,72.267,0.340312243,0.284778357,0.736045837,its vezbe
4032,96,13,0.1298,0.127,0.2999,0.3506,0.0752,0.0945,0.8731,0.8814,44.0018983,20.4367116,2016-01-19-07-41-25,75.1725,-0.381037295,-0.475223422,0.873108864,its vezbe
4033,96,13,0.1179,0.1382,0.3388,0.3844,0.2073,-0.1524,1.2712,1.297,44.0014183,20.4386366,2016-01-19-07-41-33,73.1713,0.40707314,0.432262182,1.271245003,its vezbe
4034,96,13,0.1266,0.128,0.28,0.3329,0.0019,-0.1239,0.8008,0.8104,44.0007833,20.44155,2016-01-19-07-41-45,72.3281,-0.36363247,-0.412665546,0.800840378,its vezbe
